,City,Cloudiness %,Country,Date,Humidity %,Latitude,Longitude,Max Temp (F),Wind Speed (mph)
317,Shorkot,0,PK,1575768728,27,30.83,72.08,58.64,3.09
318,Broken Hill,0,AU,1575768729,10,-31.97,141.45,87.8,12.75
319,Honningsvag,98,NO,1575768730,89,70.98,25.97,31.53,7.92
320,West Bay,90,CA,1575768731,93,49.34,-123.21,48.99,5.82
321,Toledo,0,ES,1575768732,97,39.86,-4.02,46.0,4.03
322,Praia,100,BR,1575768733,88,-20.25,-43.81,68.0,5.82
323,Chokurdakh,0,RU,1575768735,74,70.62,147.9,-27.02,4.14
324,Santa Cruz de Tenerife,75,ES,1575768736,87,28.47,-16.25,64.99,3.36
325,Cervia,40,IT,1575768737,86,44.26,12.35,46.0,4.7
326,Meliti,37,GR,1575768738,87,40.83,21.58,45.0,5.82
327,Camacha,40,PT,1575768739,82,33.08,-16.33,64.4,8.05
328,Kaele,57,CM,1575768740,20,10.11,14.45,70.56,10.11
329,Saint-Augustin,5,CA,1575768742,78,45.63,-73.98,21.0,6.93
330,Kuito,100,AO,1575768743,96,-12.38,16.94,59.29,8.28
331,Huizhou,86,CN,1575768744,33,23.11,114.41,59.41,11.72
332,Baiyin,0,CN,1575768745,78,36.55,104.13,10.4,4.47
333,Lukovetskiy,90,RU,1575768746,100,64.29,41.92,33.8,11.18
334,Phalombe,74,MW,1575768747,77,-15.81,35.65,69.06,4.32
335,Ouallam,63,NE,1575768748,12,14.32,2.08,71.98,9.53
336,Hasaki,20,JP,1575768749,61,35.73,140.83,52.0,5.82
337,Keighley,40,GB,1575768751,93,53.87,-1.9,52.0,25.28
338,Maues,91,BR,1575768752,92,-3.38,-57.72,75.56,2.91
339,Camara de Lobos,40,PT,1575768753,72,32.63,-16.97,64.4,10.29
340,Mayumba,36,GA,1575768754,82,-3.44,10.65,78.89,11.77
341,Leiyang,0,CN,1575768755,34,26.42,112.85,58.42,1.36
342,Tabuk,93,PH,1575768756,86,17.41,121.44,70.7,15.66
343,Maceio,29,BR,1575768757,83,-9.67,-35.74,78.8,11.41
344,Kloulklubed,75,PW,1575768758,83,7.04,134.26,82.4,6.93
345,Auki,45,NG,1575768760,20,12.18,6.51,67.15,9.84
346,Chandur Bazar,0,IN,1575768761,44,21.24,77.75,66.09,4.56
347,Pacific Grove,75,US,1575768762,77,36.62,-121.92,62.6,6.93
348,Conde,69,BR,1575768763,84,-11.81,-37.61,80.49,19.86
349,Aranos,3,NA,1575768764,51,-24.14,19.11,68.61,6.46
350,Ixtapa,90,MX,1575768765,78,20.71,-105.21,80.6,3.11
351,Trairi,46,BR,1575768766,84,-3.28,-39.27,74.75,2.98
352,Galway,40,IE,1575768767,87,53.27,-9.05,48.2,26.4
353,Surt,100,LY,1575768768,37,31.21,16.59,63.54,10.04
354,Evensk,100,RU,1575768769,65,61.92,159.24,3.16,11.92
355,Bismarck,1,US,1575768670,92,46.81,-100.78,39.0,9.48
356,Birao,0,CF,1575768772,24,10.3,22.78,64.94,9.71
357,Amapa,75,HN,1575768773,78,15.09,-87.97,78.8,8.05
358,La Sarre,93,CA,1575768774,94,48.8,-79.2,14.59,9.78
359,Husavik,100,CA,1575768775,95,50.56,-96.99,28.0,7.0
360,Srednekolymsk,78,RU,1575768776,100,67.46,153.71,-29.16,3.49
361,Cap Malheureux,40,MU,1575768777,88,-19.98,57.61,75.0,6.93
362,Grasse,40,FR,1575768779,93,43.66,6.92,48.99,3.36
363,Ormara,33,PK,1575768780,45,25.21,64.64,76.64,9.22
364,Nahavand,100,IR,1575768781,94,34.19,48.37,29.26,5.14
365,Huarmey,100,PE,1575768782,86,-10.07,-78.15,64.54,2.35
366,Katsuura,20,JP,1575768564,64,33.93,134.5,51.8,10.29
367,Upington,0,ZA,1575768784,27,-28.46,21.24,75.2,8.05
368,Dauriya,35,RU,1575768785,89,49.93,116.85,2.19,1.59
369,Santander Jimenez,12,MX,1575768787,83,24.22,-98.47,63.57,5.86
370,Beipiao,48,CN,1575768788,60,41.8,120.76,25.81,7.27
371,Kaligutan,40,PH,1575768789,70,7.7,125.81,86.0,6.93
372,Xuddur,97,SO,1575768790,81,4.12,43.89,73.6,9.37
373,Hosdurga,68,IN,1575768791,83,13.8,76.29,69.76,10.09
